"WHM Name","WH Name","WH ID","Address","District","State","Capacity(in MT)","Registration Date","Registration Valid Upto","Contact No.","Status","Remarks"
"Amrik Singh","FREINDS ASSOCIATES","6788046","VILL BEHAK GUJRAN,","Firozpur","PUNJAB","46760","30-Sep-2023","29-Sep-2028","9814650141","Active",""
"ARORA STORAGE","M/s ARORA STORAGE","6771307","HARAJ ROAD, TALWANDI BHAI, DISTT. FEROZEPUR","Firozpur","PUNJAB","32300","10-Aug-2023","09-Aug-2028","9914510295","Active",""
"BABA NAGA OVERSEAS","Baba Naga Overseas","6651335","Village Bopari Baj Singh, Khasa","Amritsar","PUNJAB","60000","14-Nov-2022","13-Nov-2026","9876131477","Active",""
"Bansal Godowns","Bansal Godowns","6838536","At Talwandi ,Raman Road,Near Raman Mandi,","Bathinda","PUNJAB","20000","17-Jan-2024","16-Jan-2029","9814022246","Active",""
"Central Warehousing Corporation","CW, Moga-II","5251645","Behind Nestle India Ltd.,","Moga","PUNJAB","110600","24-May-2021","23-May-2026","9518666663","Active",""
"Central Warehousing Corporation","CW, Garhshankar","2851640","near Dana Mandi,","Shahid Bhagat Singh Nagar","PUNJAB","15080","26-Feb-2021","25-Feb-2026","9463116282","Active",""
"Central Warehousing Corporation","CW, Amritsar-I","3831648","28/B Railway Crossing, Mehta Road, PO, Valha","Amritsar","PUNJAB","20000","22-Mar-2021","21-Mar-2026","9915734940","Active",""
"Central Warehousing Corporation","CW, Muktsar","4971645","Near New Grain Market,","Muktsar","PUNJAB","11250","28-Apr-2021","27-Apr-2026","7837073016","Active",""
"Central Warehousing Corporation","CW, Sirhind","4831642","Peer Colony, Sirhind,","Fatehgarh Sahib","PUNJAB","14700","23-Apr-2021","22-Apr-2026","9463051955","Active",""
"Central Warehousing Corporation","Central Warehouse,Base Depot,Pathankot","6760417","Prem Nagar, Pathankot","Gurdaspur","PUNJAB","50000","20-Jul-2023","19-Jul-2028","9417429989","Active",""
"Central Warehousing Corporation","CW BATHINDA","4431642","DELHI MANSA ROAD NEAR CANCER HOSPITAL, BATHINDA","Bathinda","PUNJAB","45000","07-Apr-2021","06-Apr-2026","9463308983","Active",""
"Central Warehousing Corporation","CW, Bhogpur","4711651","Near Sugar Mill, Bhogpur,","Jalandhar","PUNJAB","14900","19-Apr-2021","18-Apr-2026","8146996206","Active",""
